NO.,DATE,IV No.,PO No.,PC Job,SUPPLIER,ID,qty,UNIT/Price
,1/1/21,ยกยอด64,,,,JJH6532904,12,55.88
,1/1/21,ยกยอด64,,,,JJH6532954,42,61.16
,1/1/21,ยกยอด64,,,,JJH6540100,34,10.28
,1/1/21,ยกยอด64,,,,JJH6540250,64,19.88
,1/1/21,ยกยอด64,,,,JJH6540300,32,21.56
,1/1/21,ยกยอด64,,,,JJH6540325,64,23
,1/1/21,ยกยอด64,,,,JJH6540350,152,40
,1/1/21,ยกยอด64,,,,JJJ45321004,27,51.8
,1/1/21,ยกยอด64,,,,JJJ4532204,41,14.6
,1/1/21,ยกยอด64,,,,JJJ4532254,70,15.08
,1/1/21,ยกยอด64,,,,JJJ4532259,87,16.52
,1/1/21,ยกยอด64,,,,JJJ4532274,16,18.2
,1/1/21,ยกยอด64,,,,JJJ4532304,295,19.16
,1/1/21,ยกยอด64,,,,JJJ4532309,144,19.88
,1/1/21,ยกยอด64,,,,JJJ4532354,82,22.04
,1/1/21,ยกยอด64,,,,JJJ4532370,115,18.44
,1/1/21,ยกยอด64,,,,JJJ4532404,63,23.24
,1/1/21,ยกยอด64,,,,JJJ4532409,250,25.88
,1/1/21,ยกยอด64,,,,JJJ4532454,94,25.64
,1/1/21,ยกยอด64,,,,JJJ4532459,80,25.64
,1/1/21,ยกยอด64,,,,JJJ4532479,67,26.84
,1/1/21,ยกยอด64,,,,JJJ4532504,60,26.36
,1/1/21,ยกยอด64,,,,JJJ4532509,83,29
,1/1/21,ยกยอด64,,,,JJJ4532554,117,28.04
,1/1/21,ยกยอด64,,,,JJJ4532604,4,29.24
,1/1/21,ยกยอด64,,,,JJJ4532609,112,24.32
,1/1/21,ยกยอด64,,,,JJJ4532654,12,32.12
,1/1/21,ยกยอด64,,,,JJJ4532659,22,33.08
,1/1/21,ยกยอด64,,,,JJJ4532665,46,32.36
,1/1/21,ยกยอด64,,,,JJJ4532690,52,33.8
,1/1/21,ยกยอด64,,,,JJJ4532704,149,34.28
,1/1/21,ยกยอด64,,,,JJJ4532754,148,40
,1/1/21,ยกยอด64,,,,JJJ4532759,92,34.04
,1/1/21,ยกยอด64,,,,JJJ4532790,84,38.6
,1/1/21,ยกยอด64,,,,JJJ4532804,70,40.52
,1/1/21,ยกยอด64,,,,JJJ4532809,18,33.6
,1/1/21,ยกยอด64,,,,JJJ4532854,92,39.36
,1/1/21,ยกยอด64,,,,JJJ4532904,123,41.48
,1/1/21,ยกยอด64,,,,JJJ4532954,54,45.32
,1/1/21,ยกยอด64,,,,JJJ5032752,22,31.68
,1/1/21,ยกยอด64,,,,JJJ5032852,21,36.55
,1/1/21,ยกยอด64,,,,JJJ5032952,24,38.4
,1/1/21,ยกยอด64,,,,JVB4545035,45,26.36
,1/1/21,ยกยอด64,,,,JVB5545035,36,31.16
,1/1/21,ยกยอด64,,,,JVB7545035T2,136,28.69
,1/1/21,ยกยอด64,,,,JVB7545035T3,29,39.8
,1/1/21,ยกยอด64,,,,JVB9545035T2,13,34.67
,1/1/21,ยกยอด64,,,,JVB9545035T3,262,49.64
,1/1/21,ยกยอด64,,,,LDF1003000,21,226
,1/1/21,ยกยอด64,,,,LDF-90VO-VI,22,100
,1/1/21,ยกยอด64,,,,LDP-SP200X90,62,50
,1/1/21,ยกยอด64,,,,LPP19045,82,20
,1/1/21,ยกยอด64,,,,LPP29045,61,30
,1/1/21,ยกยอด64,,,,LPP401763,1,40
,1/1/21,ยกยอด64,,,,LPP401788,34,50.22
,1/1/21,ยกยอด64,,,,LPP401888,8,58.8
,1/1/21,ยกยอด64,,,,LPP401963,42,45
,1/1/21,ยกยอด64,,,,LPP401988,16,60.72
,1/1/21,ยกยอด64,,,,LPP40390,9,11.27
,1/1/21,ยกยอด64,,,,LPP40790,101,20.82
,1/1/21,ยกยอด64,,,,LPP5030,15,5
,1/1/21,ยกยอด64,,,,LPP7030,108,20
,1/1/21,ยกยอด64,,,,LPPT1.6,13,50
,1/1/21,ยกยอด64,,,,MA495305,24,43.7
,1/1/21,ยกยอด64,,,,MA595305,8,57.5
,1/1/21,ยกยอด64,,,,MA695305,7,67.85
,1/1/21,ยกยอด64,,,,MA795305,25,80.5
,1/1/21,ยกยอด64,,,,MA895305,13,87.17
,1/1/21,ยกยอด64,,,,MA995305,14,97.29
,1/1/21,ยกยอด64,,,,MB495175,9,27.14
,1/1/21,ยกยอด64,,,,MB595175,13,32.2
,1/1/21,ยกยอด64,,,,MB595195,14,32.2
,1/1/21,ยกยอด64,,,,MB695175,7,40.1
,1/1/21,ยกยอด64,,,,MB695195,70,40.1
,1/1/21,ยกยอด64,,,,MB795175,33,60
,1/1/21,ยกยอด64,,,,MB795195,21,44.39
,1/1/21,ยกยอด64,,,,MB895175,16,51.52
,1/1/21,ยกยอด64,,,,MB995175,12,57.27
,1/1/21,ยกยอด64,,,,MB995195,6,57.27
,1/1/21,ยกยอด64,,,,PE220690,9,65.26
,1/1/21,ยกยอด64,,,,PE220700,2,77.91
,1/1/21,ยกยอด64,,,,PE270590,37,64.8
,1/1/21,ยกยอด64,,,,PE270690,32,74
,1/1/21,ยกยอด64,,,,PE295300,30,65.57
,1/1/21,ยกยอด64,,,,PE345300,7,55.6
,1/1/21,ยกยอด64,,,,PE345450,16,60.2
,1/1/21,ยกยอด64,,,,PE345600,9,74
,1/1/21,ยกยอด64,,,,PE345690,11,109.88
,1/1/21,ยกยอด64,,,,PE595200,4,51
,1/1/21,ยกยอด64,,,,PE595300,33,71.7
,1/1/21,ยกยอด64,,,,PE595400,1,109.65
,1/1/21,ยกยอด64,,,,PE795200,10,67.56
,1/1/21,ยกยอด64,,,,PE795300,19,96.31
,1/1/21,ยกยอด64,,,,PE795400,1,142.31
,1/1/21,ยกยอด64,,,,PE995400,10,175.2
,1/1/21,ยกยอด64,,,,PE995540,4,184.17
,1/1/21,ยกยอด64,,,,PK178153,2,20
,1/1/21,ยกยอด64,,,,PK316224,33,50
,1/1/21,ยกยอด64,,,,PK31645,37,50
,1/1/21,ยกยอด64,,,,PVC2012202440,1,1400
,1/1/21,ยกยอด64,,,,RE-M102020408,6,1700
,1/1/21,ยกยอด64,,,,SAL3012202440,5,3300
,1/1/21,ยกยอด64,,,,SAL6012202440,9,6650
,1/1/21,ยกยอด64,,,,SAL6075756000,2,325
